ReviewId,AuthorId,Status,NumSubsystem,NumFiles,Exp,NumVotedAuthor,NumPositive,NumNormal,NumNegative,PerPositive,PerNormal,PerNegative,NumComments,TimeDiff,NumAddLines,NumDelLines,Core,NumOwnComments,PerOwnComments,NumOwnComments,Result,Result2
707,1000028,1,1,1,17,1,2,0,0,1,0,0,2,61,6,0,1,1,1,2,0,1
3,1000006,1,1,1,0,2,2,0,0,1,0,0,2,18713,5,4,1,0,0,1,0,1
13,1000018,1,2,2,0,2,2,0,0,1,0,0,2,380,16,0,1,0,0,1,0,1
44,1000020,1,1,1,3,2,2,0,0,1,0,0,2,3201,3,2,1,0,0,1,0,1
45,1000020,1,1,1,3,2,2,0,0,1,0,0,2,3222,1,0,1,0,0,1,0,1
46,1000020,1,1,1,3,2,2,0,0,1,0,0,2,3233,8,0,1,0,0,1,0,1
47,1000020,1,1,1,3,2,2,0,0,1,0,0,2,3239,7,1,1,0,0,1,0,1
48,1000020,1,1,3,3,1,1,1,0,0.5,0.5,0,2,2281,45,31,1,0,0,0,1,0
63,1000020,1,1,1,8,1,2,0,0,1,0,0,2,1498,4,0,1,0,0,0,0,1
66,1000015,1,1,69,3,1,2,0,0,1,0,0,2,221,202,645,1,0,0,0,0,1
67,1000011,1,1,1,5,1,2,0,0,1,0,0,2,248,1,1,1,0,0,0,0,1
68,1000030,1,1,1,0,1,2,0,0,1,0,0,2,171,3,2,1,0,0,0,0,1
69,1000015,1,1,1,11,1,2,0,0,1,0,0,2,151,1,0,1,0,0,0,0,1
70,1000007,1,1,130,4,3,3,0,0,1,0,0,3,74120,1052,716,1,1,0.333333333,1,1,0
71,1000020,1,1,1,9,1,2,0,0,1,0,0,2,30,8,0,1,1,1,2,0,1
72,1000020,1,1,1,9,1,2,0,0,1,0,0,2,407,0,4,1,0,0,0,0,1
73,1000015,1,1,1,12,1,2,0,0,1,0,0,2,23,5,1,1,1,1,2,0,1
80,1000028,1,1,1,3,1,1,0,0,1,0,0,1,13394,4,4,1,0,0,0,1,0
81,1000028,1,1,1,3,1,2,0,0,1,0,0,2,12489,6,1,1,1,1,2,0,1
87,1000018,1,1,3,7,1,2,0,0,1,0,0,2,7397,9,11,1,0,0,0,0,1
88,1000022,1,1,4,1,1,2,0,0,1,0,0,2,71107,0,38,1,0,0,0,0,1
89,1000022,1,1,12,1,1,2,0,0,1,0,0,2,71210,17,668,1,0,0,0,0,1
91,1000007,1,1,7,5,3,3,0,0,1,0,0,3,8273,19,18,1,1,0.333333333,1,1,0
97,1000015,1,1,2,19,1,1,0,0,1,0,0,2,180055,6,3,1,0,0,0,1,0
98,1000014,1,1,1,5,2,3,0,0,1,0,0,3,3186,7,8,1,1,0.5,2,0,1
99,1000057,1,1,9,0,1,2,0,0,1,0,0,2,768,269,42,1,0,0,0,0,1
100,1000015,1,1,3,19,1,1,0,0,1,0,0,1,2227,6,5,1,0,0,0,1,0
104,1000018,1,1,1,8,1,2,0,0,1,0,0,2,309,10,6,1,0,0,0,0,1
105,1000012,1,1,2,4,1,2,0,0,1,0,0,2,492,19,12,1,1,1,2,0,1
