AuthorId,2++,1+,0+-,1-,2--,all,per-negative,core
1001480,0,2,0,0,0,2,0,0
1002160,21,8,2,1,3,35,0.114286,1
1002161,1,1,0,0,0,2,0,1
1002273,0,1,0,1,0,2,0.5,0
1001538,1,2,1,0,0,4,0,1
1002360,0,4,0,0,0,4,0,0
1002167,353,0,0,0,0,353,0,1
1001549,0,5,0,0,0,5,0,0
1001554,0,3,0,0,0,3,0,0
1001556,0,1,0,0,0,1,0,0
1001566,0,1,0,0,0,1,0,0
1001567,0,1,0,0,0,1,0,0
1001572,0,18,0,4,0,22,0.181818,0
1002174,1,0,1,0,0,2,0,1
1002176,0,24,1,9,0,34,0.264706,0
1001604,0,3,0,1,0,4,0.25,0
1001611,9,0,0,0,0,9,0,1
1001612,1,5,0,0,0,6,0,1
1001616,0,5,0,1,0,6,0.166667,0
1002520,0,1,0,0,0,1,0,0
1001623,0,9,0,2,0,11,0.181818,0
1002180,21,1,0,1,1,24,0.083333,1
1002182,0,1,0,0,0,1,0,0
1002866,0,2,0,0,0,2,0,0
1002184,0,36,1,2,0,39,0.051282,0
1002526,0,1,0,0,0,1,0,0
1001656,0,1,0,1,0,2,0.5,0
1001663,0,1,0,0,0,1,0,0
1001682,5,14,0,1,0,20,0.05,1
1001690,0,2,0,0,0,2,0,0
1002191,0,1,0,0,0,1,0,0
1001692,0,1,0,1,0,2,0.5,0
1001697,0,13,3,6,0,22,0.272727,0
1002279,0,4,0,0,0,4,0,0
1001716,0,1,0,0,0,1,0,0
1002576,0,1,0,0,0,1,0,0
1001740,0,3,0,0,0,3,0,0
1002280,0,1,0,0,0,1,0,0
1001746,0,3,0,1,0,4,0.25,0
1001764,0,2,0,0,0,2,0,0
1001768,0,2,0,0,0,2,0,0
1001775,0,75,1,4,0,80,0.05,0
1001796,0,11,0,1,0,12,0.083333,0
1002209,0,1,0,0,0,1,0,0
1002211,0,1,0,0,0,1,0,0
1002553,0,1,0,0,0,1,0,0
1001871,0,0,0,2,0,2,1,0
1001836,0,1,0,2,0,3,0.666667,0
1001842,1,0,0,0,0,1,0,1
1001846,0,17,0,2,0,19,0.105263,0
1001854,0,1,0,0,0,1,0,0
1001857,0,25,0,2,0,27,0.074074,0
1002219,0,50,2,15,0,67,0.223881,0
1002221,0,1,0,0,0,1,0,0
1002223,0,5,0,1,0,6,0.166667,0
1002907,0,1,0,0,0,1,0,0
1001895,15,4,0,0,0,19,0,1
1001896,0,1,0,0,0,1,0,0
1001910,0,0,0,1,0,1,1,0
1001911,0,2,0,0,0,2,0,0
1002286,0,3,0,0,0,3,0,0
1001931,1,17,0,4,0,22,0.181818,1
1002232,28,7,0,2,0,37,0.054054,1
1001942,0,1,0,0,0,1,0,0
1001943,0,1,0,0,0,1,0,0
1001945,0,1,0,0,0,1,0,0
1001946,0,3,0,0,0,3,0,0
1001949,19,1,0,7,0,27,0.259259,1
1001953,0,11,0,2,0,13,0.153846,0
1001966,0,1,2,3,0,6,0.5,0
1001967,31,57,4,14,4,110,0.163636,1
1001971,0,1,0,0,0,1,0,0
1001973,0,3,0,0,0,3,0,0
1001975,0,11,0,3,0,14,0.214286,0
1001982,60,45,1,2,0,108,0.018519,1
1001984,110,1,0,4,3,118,0.059322,1
1001987,0,1,0,0,0,1,0,0
1001994,14,4,1,1,0,20,0.05,1
1002000,0,1,0,0,0,1,0,0
1002001,0,1,0,0,0,1,0,0
1002006,115,14,2,30,2,163,0.196319,1
1002008,0,1,0,0,0,1,0,0
1002012,1,4,0,0,0,5,0,1
1002289,0,30,0,8,0,38,0.210526,0
1002018,1,0,0,0,0,1,0,1
1002021,0,1,0,0,0,1,0,0
1002025,1,0,0,0,0,1,0,1
1002031,0,31,0,5,0,36,0.138889,0
1002040,0,2,0,1,0,3,0.333333,0
1002042,2,0,0,2,0,4,0.5,1
1000002,2,0,0,0,0,2,0,1
1000003,455,138,4,217,19,833,0.283313,1
1000004,1179,378,36,769,206,2568,0.379673,1
1000005,1159,27,1,40,11,1238,0.041195,1
1000006,109,3,0,6,0,118,0.050847,1
1000007,865,163,4,147,61,1240,0.167742,1
1000008,99,41,1,11,0,152,0.072368,1
1000009,1279,132,0,119,46,1576,0.104695,1
1000010,177,20,3,24,5,229,0.126638,1
1000011,653,52,1,52,11,769,0.081925,1
1000012,665,22,1,17,5,710,0.030986,1
1000013,141,48,2,58,23,272,0.297794,1
1000014,1515,413,12,316,4,2260,0.141593,1
